path,ext,bytes,loc_if_code
src/pages/SubscriptionPlans.jsx,.jsx,6735,196
src/pages/VerifyAccount.jsx,.jsx,4398,132
src/pages/admin/AdminBillingPanel.jsx,.jsx,5615,159
src/pages/admin/AdminCompanyList.jsx,.jsx,6877,188
src/pages/admin/AdminDashboard.jsx,.jsx,4326,127
src/pages/admin/AdminExportPanel.jsx,.jsx,3080,100
src/pages/admin/AdminPanel.jsx,.jsx,6307,164
src/pages/admin/AdminRouter.jsx,.jsx,1104,37
src/pages/admin/AdminTextsPage.jsx,.jsx,718,24
src/pages/admin/AdminThemePanel.jsx,.jsx,2347,74
src/pages/admin/AdminUserList.jsx,.jsx,4777,143
src/pages/admin/AuditLogPanel.jsx,.jsx,3054,95
src/pages/admin/BenchmarkCountryStats.jsx,.jsx,6198,180
src/pages/admin/BrandingPanel.jsx,.jsx,5880,182
src/pages/admin/CMSBlocksDemo.jsx,.jsx,1275,37
src/pages/admin/ContractArchiveAdmin.jsx,.jsx,6967,181
src/pages/admin/CountryContextSwitcher.jsx,.jsx,1609,53
src/pages/admin/ExportTemplateManager.jsx,.jsx,6377,192
src/pages/admin/InvoiceList.jsx,.jsx,1598,51
src/pages/admin/InvoiceViewer.jsx,.jsx,1400,48
src/pages/admin/LanguageManager.jsx,.jsx,3477,112
src/pages/admin/LiveActivityMonitor.jsx,.jsx,2891,90
src/pages/admin/MarketSettingsPanel.jsx,.jsx,5580,183
src/pages/admin/ModerationInbox.jsx,.jsx,3954,119
src/pages/admin/OfferCreator.jsx,.jsx,5304,181
src/pages/admin/OnboardingWizard.jsx,.jsx,3183,115
src/pages/admin/OrganizationPanel.jsx,.jsx,1317,43
src/pages/admin/RegionScopeManager.jsx,.jsx,3764,118
src/pages/admin/SavedFilterBar.jsx,.jsx,2658,93
src/pages/admin/SecurityOverview.jsx,.jsx,740,28
src/pages/admin/StagingControl.jsx,.jsx,7059,225
src/pages/admin/StatsOverviewPage.jsx,.jsx,785,22
src/pages/admin/systemAlertSender.jsx,.jsx,5717,188
src/pages/admin/SystemAuditLog.jsx,.jsx,2737,92
src/pages/admin/texts.jsx,.jsx,332,10
src/pages/admin/ThemeSettings.jsx,.jsx,4863,156
src/pages/admin/ThemeSettingsDraftable.jsx,.jsx,6015,185
src/pages/admin/TimeRangeSelector.jsx,.jsx,2533,83
src/pages/contracts/ContractManager.jsx,.jsx,3851,117
src/pages/contracts/ContractSender.jsx,.jsx,7024,237
src/pages/contracts/ContractViewer.jsx,.jsx,4580,136
src/pages/dashboard/client/ClientDashboardWrapper.jsx,.jsx,1446,41
src/pages/dashboard/client/ClientFavorites.jsx,.jsx,1209,43
src/pages/dashboard/client/ClientInbox.jsx,.jsx,1078,34
src/pages/dashboard/client/ClientReservationForm.jsx,.jsx,2817,103
src/pages/dashboard/client/ClientReservations.jsx,.jsx,1701,47
src/pages/dashboard/client/ContractArchive.jsx,.jsx,2389,74
src/pages/dashboard/client/Timeline.jsx,.jsx,2104,75
src/pages/dashboard/provider/BenchmarkCountryStats.jsx,.jsx,3310,98
src/pages/dashboard/provider/CompanyProfile.jsx,.jsx,3559,96
src/pages/dashboard/provider/MyOffers.jsx,.jsx,1819,60
src/pages/dashboard/provider/OfferCreate.jsx,.jsx,2234,68
src/pages/dashboard/provider/OfferEdit.jsx,.jsx,3284,101
src/pages/dashboard/provider/PlanManager.jsx,.jsx,3579,110
src/pages/dashboard/provider/ProviderCalendar.jsx,.jsx,7297,208
src/pages/dashboard/provider/ProviderInbox.jsx,.jsx,4414,126
src/pages/dashboard/provider/ProviderOffers.jsx,.jsx,18287,460
src/pages/dashboard/provider/ProviderProfile.jsx,.jsx,134,3
src/pages/dashboard/provider/ProviderReservations.jsx,.jsx,9810,243
src/pages/dashboard/provider/ProviderStats.jsx,.jsx,6940,174
src/pages/dashboard/provider/SubscriptionHistory.jsx,.jsx,7345,202
src/pages/offers/OfferDetails.jsx,.jsx,5434,166
src/pages/offers/OfferList.jsx,.jsx,16759,484
src/pages/offers/OfferRouter.jsx,.jsx,533,18
src/providers/ThemeProvider.jsx,.jsx,318,11
src/routes/providerRoutes.js,.js,2181,72
src/routes/RequireAuth.jsx,.jsx,839,30
src/routes/RouterConfig.jsx,.jsx,5688,143
src/theme/themeConfig.json,.json,340,
src/types/context.d.ts,.ts,84,2
src/types/env.d.ts,.ts,39,1
src/types/ThemeContext.d.ts,.ts,582,23
src/types/useLiveText.d.ts,.ts,168,5
src/utils/alert.engine.js,.js,561,16
src/utils/audit.log.js,.js,866,40
src/utils/AvailabilityUtils.js,.js,1934,69
src/utils/branchUpload.schema.json,.json,610,
src/utils/calculateDistance.js,.js,1253,44
src/utils/constants.js,.js,962,40
src/utils/distance.js,.js,1058,38
src/utils/generateDocumentPDF.ts,.ts,907,35
src/utils/geoUtils.js,.js,717,28
src/utils/InvoiceGenerator.js,.js,429,21
src/utils/mapConfig.js,.js,295,10
src/utils/themeStorage.js,.js,1357,44
.vscode/settings.json,.json,368,
